Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Educational index ","Income index"
"Gambia, The","Africa","GMB","National","GMBt","Total",0.495,0.400,0.459
"Georgia","Europe","GEO","National","GEOt","Total",0.814,0.888,0.766
"Germany","Europe","DEU","National","DEUt","Total",0.950,0.957,0.954
"Ghana","Africa","GHA","National","GHAt","Total",0.602,0.536,0.602
"Greece","Europe","GRC","National","GRCt","Total",0.893,0.880,0.868
"Grenada","America","GRD","National","GRDt","Total",0.793,0.789,0.742
"Guatemala","America","GTM","National","GTMt","Total",0.629,0.488,0.680
"Guinea","Africa","GIN","National","GINt","Total",0.471,0.362,0.480
"Guinea-Bissau","Africa","GNB","National","GNBt","Total",0.483,0.415,0.443
"Guyana","America","GUY","National","GUYt","Total",0.742,0.649,0.888
"Haiti","America","HTI","National","HTIt","Total",0.552,0.496,0.503
"Honduras","America","HND","National","HNDt","Total",0.624,0.520,0.599
"Hungary","Europe","HUN","National","HUNt","Total",0.851,0.827,0.881
"Iceland","Europe","ISL","National","ISLt","Total",0.959,0.959,0.952
"India","Asia/Pacific","IND","National","INDt","Total",0.644,0.569,0.641
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",0.713,0.673,0.724
"Iran, Islamic Rep.","Asia/Pacific","IRN","National","IRNt","Total",0.780,0.750,0.755
"Iraq","Asia/Pacific","IRQ","National","IRQt","Total",0.673,0.567,0.681
"Ireland","Europe","IRL","National","IRLt","Total",0.950,0.889,1.000
"Israel","Asia/Pacific","ISR","National","ISRt","Total",0.915,0.866,0.918
"Italy","Europe","ITA","National","ITAt","Total",0.906,0.821,0.920
"Jamaica","America","JAM","National","JAMt","Total",0.706,0.654,0.691
"Japan","Asia/Pacific","JPN","National","JPNt","Total",0.920,0.852,0.918
"Jordan","Asia/Pacific","JOR","National","JORt","Total",0.736,0.699,0.685
"Kazakhstan","Asia/Pacific","KAZ","National","KAZt","Total",0.802,0.826,0.819
"Kenya","Africa","KEN","National","KENt","Total",0.601,0.572,0.585
"Kiribati","Asia/Pacific","KIR","National","KIRt","Total",0.628,0.632,0.534
"Korea, Rep.","Asia/Pacific","KOR","National","KORt","Total",0.929,0.879,0.926
"Kosovo","Europe","XKO","National","KSVt","Total",0.757,0.753,0.704
