geonameid,2m_temperature_2023_avg,2m_dewpoint_temperature_2023_avg,total_precipitation_2023
5368361,290.68,282.81,0.719
5391959,286.42,282.77,0.761
5746545,285.67,279.85,1.18
5809844,285.0,280.53,1.074
5809844,285.0,280.53,1.074
3441575,290.45,286.27,0.987
1512569,288.05,278.72,0.545
3646738,297.89,292.99,1.453
1562798,299.23,295.4,1.474
1566083,301.07,297.34,1.843
1568043,293.45,289.97,1.84
1572151,300.41,296.88,1.7
1581130,298.33,294.12,1.52
1583992,299.84,296.39,2.574
1584071,293.65,291.03,2.13
1586203,300.89,297.51,1.88
1586443,301.03,297.36,2.403
2135171,298.65,294.34,2.184
4035413,299.78,296.55,2.679
71137,291.85,277.14,0.321
415189,301.63,297.48,0.052
945945,294.7,274.98,0.13
964137,291.86,281.32,0.549
964420,291.2,286.71,0.652
965289,291.82,283.21,0.675
967106,289.54,281.18,0.473
971534,291.94,287.07,1.036
981827,293.47,285.32,0.695
990930,291.77,278.17,0.384
1002108,289.97,280.37,0.604
1006984,292.68,288.13,0.968
1007311,293.99,289.77,1.026
1018725,290.25,278.53,0.488
3369157,289.38,285.5,0.691
909137,295.44,286.06,1.009
890299,293.27,284.46,0.884
894701,293.48,282.76,0.565
