latitude,longitude,Residential EUI (kWh/m²/year),Non-residential EUI (kWh/m²/year),Residential Area,Non-Residential Area
47.7237,-122.29232,,143.6487355917035,,308965.0
47.56895,-122.33775,,508.2774837705252,,63225.0
47.56548,-122.35378,,119.49789006925381,,113780.0
47.56419,-122.34262,,198.9688381067904,,326751.0
47.63549,-122.34103,,354.06208586360367,,66462.0
47.72053,-122.34739,,171.94412579705164,,131387.0
47.72377,-122.34095,,38.40426601319365,,94400.0
47.72546,-122.34659,,120.7431755536916,,87665.0
47.7249,-122.34332,,468.16780926569146,,114000.0
47.72371,-122.34293,,523.5869233581087,,50083.0
47.65086,-122.35412,,105.36651973888354,,124071.0
47.64963,-122.35158,,140.84863366450313,,90000.0
47.64822,-122.34848,,109.84886939816612,,280957.0
47.64882,-122.34905,,50.39241815165226,,243334.0
47.6074,-122.33777,,279.8318008578505,,280230.0
47.55238,-122.32762,,84.10104822298796,,390295.0
47.54983,-122.32858,,29.094449981880743,,90000.0
47.55032,-122.32614,,55.889806842616515,,50200.0
47.66233,-122.3748,,76.70925105792436,,222556.0
47.66242,-122.374,,231.04870692940693,,91327.0
47.64676,-122.37581,,13.384676833889909,,130293.0
47.63634,-122.3754,,30.0858303784666,,94470.0
47.59963,-122.32796,,95.51588685288947,,181694.0
47.66178,-122.31812,,268.2867183006921,,46855.0
47.54769,-122.3251,,38.02295793765354,,22780.0
47.54187,-122.32714,,95.22368246689415,,124472.0
47.5422,-122.32908,,118.7290200034033,,51040.0
47.54853,-122.32814,,83.62551985361277,,85400.0
47.54912,-122.32819,,78.23483688504787,,59650.0
47.54965,-122.3278,,102.76091001680047,,52759.0
47.62476,-122.34843,,121.2196729715021,,80019.0
47.61552,-122.31744,,135.25140861576085,,75844.0
47.5701,-122.33342,,205.80039967415524,,174227.0
47.57023,-122.33241,,264.496440711597,,52613.0
47.56637,-122.33273,,483.49687924639665,,104099.0
47.73315,-122.3105,,405.4288372469981,,58480.0
47.62151,-122.32941,,152.9797546715721,,183578.0
47.62029,-122.33078,,87.66414264420789,,336700.0
47.62,-122.33027,,98.04772506194912,,264008.0
47.59285,-122.30874,,98.49912344588904,,89780.0
47.66517,-122.30186,,154.83938835509625,,102290.0
47.6144,-122.30982,,362.2210076406183,,80004.0
47.56407,-122.32765,,56.066011843850006,,323916.0
47.5928,-122.31599,,172.0097068658255,,304052.0
47.64037,-122.32626,,150.71364024991874,,85385.0
47.53687,-122.33316,,59.2750057037198,,98024.0
47.62405,-122.33084,,155.2759372679031,,45000.0
47.62488,-122.33007,,81.4826775481504,,144573.0
47.70744,-122.33171,,360.0496010549235,,86400.0
47.7094,-122.31843,,106.65433370846586,,98539.0
47.70732,-122.33279,,172.30928477781734,,86483.0
47.53926,-122.34143,,71.56107048964886,,58770.0
47.53689,-122.33847,,69.78248253347962,,140520.0
47.63116,-122.34193,,77.77650594851468,,154029.0
47.70887,-122.33494,,81.20214882973691,,161789.0
47.7126,-122.33782,,216.84883090955034,,63909.0
47.69814,-122.34295,,42.92425812952415,,53472.0
47.70449,-122.33272,,637.8987524764254,,133298.0
47.63456,-122.32454,,472.4319223849361,,281306.0
47.6244,-122.33157,,98.53824537299272,,175885.0
47.5563,-122.33186,,204.84396572934864,,53620.0
47.55623,-122.33316,,105.08803888946201,,50008.0
47.6252,-122.36737,,95.56086727783963,,291176.0
47.56549,-122.33221,,203.775783197553,,50832.0
47.56158,-122.32754,,150.39473831220252,,76354.0
47.56558,-122.32889,,90.75482934722068,,98480.0
47.63108,-122.32746,,522.027296643819,,169785.0
47.63,-122.3396,,220.00279587172162,,124721.0
47.63376,-122.33968,,203.56484394620313,,94002.0
47.55515,-122.3275,,80.7928662566105,,93020.0
47.52095,-122.26825,,625.0776775726745,,61053.0
47.59878,-122.33458,,142.99278604696735,,192891.0
47.59895,-122.33379,,69.25161096882552,,78920.0
47.59979,-122.3338,,61.40825785765711,,69817.0
47.60035,-122.33379,,14.29117308480184,,84750.0
47.60146,-122.33248,,184.2849608222521,,75496.0
47.59962,-122.33247,,96.28986970865586,,164380.0
47.59858,-122.33198,,116.629776356425,,160580.0
47.60022,-122.33127,,158.05488004429787,,54805.0
47.60159,-122.32915,,143.5064991169744,,73470.0
47.59871,-122.3299,,94.59450796231269,,85595.0
47.57941,-122.33131,,126.25301268277099,,76442.0
47.57658,-122.33054,,148.12324979137992,,92792.0
47.58361,-122.33369,,100.73122639291947,,129000.0
47.58781,-122.33264,,35.68626820320802,,78814.0
47.59486,-122.33368,,63.779287365704036,,58970.0
47.59403,-122.33367,,34.75614465779208,,75600.0
47.59363,-122.33371,,65.79766054322046,,47000.0
47.59701,-122.33378,,252.24138358060978,,66842.0
47.59639,-122.33368,,61.55296852770206,,75288.0
47.59806,-122.33475,,74.68280336530388,,204504.0
47.59767,-122.33467,,144.5886906175923,,443509.0
47.59202,-122.33486,,315.5153401627011,,64512.0
47.58924,-122.33566,,147.70487117964757,,286000.0
47.58365,-122.33467,,81.73059501775398,,144050.0
47.58252,-122.33465,,103.70068671987356,,60592.0
47.58181,-122.33534,,,,
47.57842,-122.33558,,157.99963106489182,,107930.0
47.59503,-122.32704,,136.15139556765894,,76624.0
47.66158,-122.31625,,155.83432998220107,,91706.0
47.62395,-122.33392,,446.4560538361328,,129093.0
47.56787,-122.36419,,123.5431436794066,,138106.0
47.56664,-122.32346,,179.07579597209156,,56572.0
47.60138,-122.32997,85.77903106029214,,117950.0,
47.60979,-122.32298,,178.15292571510923,,225982.0
47.61783,-122.33729,,200.40610735284918,,516407.0
47.59865,-122.32854,,223.90088035695368,,312512.0
47.6074,-122.33777,,91.50489512056285,,1592914.0
47.61077,-122.3361,,146.98815514202158,,97720.0
47.60649,-122.31121,,285.6024770618417,,108618.0
47.53655,-122.36377,,167.85686847221302,,94713.0
47.60707,-122.3288,,165.82350785520066,,302902.0
47.60536,-122.32405,,188.29791905675052,,726103.0
47.60883,-122.32494,,104.5684866750961,,319911.0
47.60353,-122.33558,,78.45265802521173,,166975.0
47.60197,-122.33437,,138.26206015524983,,56700.0
47.63347,-122.34078,,40.40281389640519,,189775.0
47.56797,-122.36711,,353.58249618785374,,68763.0
47.56919,-122.28979,,504.91576120519613,,103255.0
47.61534,-122.34844,70.46445296139264,,358176.0,
47.61567,-122.33503,,112.58267389241435,,362033.0
47.65184,-122.35043,,271.7045067147671,,43540.0
47.59625,-122.32283,93.69862182597697,,228288.0,
47.62476,-122.35521,,580.4976672302917,,81336.0
47.6115,-122.33278,,76.69419244800899,,538933.0
47.6103,-122.33879,,124.31823188154748,,99470.0
47.61234,-122.34897,,11.464775424038272,,275982.0
47.62497,-122.35965,,150.2204482050154,,98668.0
47.57654,-122.32047,,83.80571179209815,,213696.0
47.54193,-122.32404,,,,
47.65692,-122.37059,,56.45500195496663,,105100.0
47.63718,-122.37734,,548.0811328251641,,64659.0
47.63284,-122.37712,,56.031111097078416,,50660.0
47.63156,-122.37551,,77.46295766033815,,59800.0
47.62302,-122.36476,,33.677449845234484,,165111.0
47.62235,-122.36378,,55.40705669211249,,129551.0
47.62101,-122.36188,,77.01803303419949,,183964.0
47.61813,-122.35833,,107.28398946620494,,277486.0
47.614,-122.35375,,136.76913834032865,,187130.0
47.61287,-122.35022,,184.52672969927352,,251044.0
47.60703,-122.34038,,46.983274354030485,,95330.0
47.60604,-122.33948,,89.15204510014529,,117182.0
47.6047,-122.33739,,78.35009071076838,,167860.0
47.60378,-122.33741,,56.16366562652817,,241685.0
47.60247,-122.33621,,92.3038268162265,,112560.0
47.60223,-122.33602,,85.75068999749692,,86204.0
47.5829,-122.32417,,165.31315736844383,,145158.0
47.58716,-122.32214,,1655.7286300440844,,112896.0
47.58685,-122.32501,,67.94241689808514,,110613.0
47.58042,-122.32552,,159.20108177543526,,98220.0
47.58096,-122.32313,,113.41153080459976,,84420.0
47.57055,-122.3267,,35.63907368270172,,73335.0
47.5794,-122.32848,,200.7069664499548,,56876.0
47.58279,-122.32857,,183.69801957681776,,61200.0
47.58772,-122.32686,,33.894745293480455,,111908.0
47.5908,-122.32828,,418.8875488616879,,56130.0
47.65913,-122.38391,,129.31851820507242,,56259.0
47.65529,-122.32133,,,,
47.64912,-122.34823,,71.82772163499162,,202623.0
47.64932,-122.35187,,208.02429829954238,,77174.0
47.62817,-122.34212,,58.917108473249236,,240454.0
47.6289,-122.32877,,285.69043773103346,,287224.0
47.63079,-122.32693,,494.5061613817281,,128408.0
47.62225,-122.35915,,68.80895732625018,,241875.0
47.61949,-122.35639,,95.34269797289191,,102930.0
47.61472,-122.35566,,265.78953170125493,,76893.0
47.61732,-122.34791,,108.58090462094874,,150000.0
47.61628,-122.33391,,101.92924907096135,,274362.0
47.61599,-122.34165,,97.11250719982013,,378002.0
47.61481,-122.33969,,117.18878043470711,,169020.0
47.61418,-122.33485,,132.08432530338897,,383515.0
47.61203,-122.33486,,61.41899936517998,,78920.0
47.61051,-122.34439,,248.83468696144317,,131143.0
47.61289,-122.33531,,155.63116771799767,,947987.0
47.61505,-122.32,,222.34201219956933,,76803.0
47.61036,-122.34037,,93.98039037405042,,132998.0
47.60956,-122.33715,,103.8102857555729,,83118.0
47.60765,-122.34097,,151.72801804934164,,51218.0
47.60765,-122.3348,,150.45787618747138,,453106.0
47.60769,-122.33544,,48.496456814526574,,216571.0
47.60741,-122.33565,,336.7063778412904,,189175.0
47.60582,-122.33464,,124.82823358336623,,293576.0
47.60576,-122.33922,,118.6463762549108,,122356.0
47.60366,-122.33328,,106.5856440475741,,52298.0
47.60304,-122.33362,,71.01082050882158,,159034.0
47.60573,-122.33028,,79.97631564596685,,1249055.0
47.60411,-122.33225,,71.92385836608871,,227556.0
47.60454,-122.33072,,124.51259724116045,,1952220.0
47.60663,-122.32157,,113.11963718343769,,188339.0
47.5981,-122.33369,,105.54533728161292,,95000.0
47.6029,-122.32927,,123.93829004308016,,224857.0
47.59878,-122.33088,,84.20496766835964,,446261.0
47.58958,-122.33369,,168.64287036864891,,62370.0
47.58454,-122.3269,,90.14584940122569,,73296.0
47.5829,-122.32417,,456.1862448987905,,99122.0
47.57613,-122.33864,,61.295186202648196,,115668.0
47.56301,-122.32564,,357.1646645845701,,141686.0
47.55695,-122.33176,,189.43266050761528,,93610.0
47.54923,-122.32446,,82.68436694279136,,115620.0
47.54699,-122.32882,,97.90087582585262,,238148.0
47.54326,-122.33134,,23.933285009571343,,71718.0
47.52549,-122.33064,,160.7966014209184,,54880.0
47.52222,-122.36892,,249.31395612995775,,102500.0
47.66478,-122.29804,,68.85661264775058,,361398.0
47.57903,-122.29982,,345.08233239353103,,50785.0
47.70911,-122.32529,,239.1928496664127,,303255.0
47.56613,-122.33838,,80.36942361779427,,411584.0
47.59937,-122.33116,,48.3264612911675,,72000.0
47.6252,-122.36737,,110.99341192487151,,242686.0
47.59895,-122.33248,,163.43283089050465,,95760.0
47.56693,-122.33571,,146.40258125192128,,188681.0
47.57513,-122.33739,,94.73336136703847,,65288.0
47.5725,-122.3571,,26.327169763453377,,170632.0
47.63264,-122.34171,,98.27158357958632,,381511.0
47.60214,-122.32726,,69.82829519365622,,413264.0
47.6586,-122.3124,,100.97067608783608,,122400.0
47.66246,-122.29898,,135.02178442135198,,93803.0
47.6012,-122.31548,,,,
47.51304,-122.28394,,106.80846290505467,,123000.0
47.60884,-122.32193,,,,
47.61915,-122.35871,,,,
47.60778,-122.32013,,116.38527411762824,,289419.0
47.6993,-122.32378,,148.49796578354247,,90266.0
47.6582,-122.36434,,43.463228319860605,,87332.0
47.61166,-122.32028,,222.97649594061963,,150545.0
47.62147,-122.34817,,428.1988870460006,,141718.0
47.62562,-122.35121,,212.98258370868942,,111856.0
47.61818,-122.31728,,21.629073844888655,,132828.0
47.71392,-122.34364,,223.65706707221045,,101830.0
47.6021,-122.29181,,,,
47.5805,-122.33032,,,,
47.57311,-122.3601,,18.17126269373043,,152365.0
47.6064,-122.30949,,234.70466505210814,,320946.0
47.54858,-122.32322,,89.50840359778606,,74178.0
47.60562,-122.3212,,119.29461521282413,,275130.0
47.70855,-122.30188,,50.364642369833255,,80360.0
47.58203,-122.29854,,32.44504706937432,,166014.0
47.5795,-122.38723,,,,
47.59394,-122.32452,,110.49268332256706,,51856.0
47.58718,-122.33467,,231.3061067129098,,66480.0
47.66181,-122.31231,,,,
