lat,lon,pca_result,K_mean_label,C_mean_label,GMM_label
38.08,46.2919,-0.66101944,3,17,3
29.61031,52.53113,-0.24944387,3,17,3
37.27611,49.58862,-0.696615,13,17,13
36.29807,59.60567,-0.67445225,3,17,3
36.8427,54.44391,-1.0007322,13,17,13
27.1865,56.2808,-0.58168447,3,17,3
32.65246,51.67462,-0.08438877,3,0,3
38.1166,13.3636,-0.29553008,9,17,9
45.43713,12.33265,-0.4891828,9,17,9
45.13333,7.36667,1.0282149,0,1,0
41.89193,12.51133,-1.0608774,17,17,17
40.88333,14.41667,-0.31370652,1,17,1
45.46427,9.18951,-0.5419524,16,17,16
17.99702,-76.79358,1.6068602,6,1,6
31.95522,35.94503,-0.33949488,14,17,14
35.43333,139.65,0.035774667,10,1,10
32.82855,132.89283,1.3101767,0,1,0
35.6895,139.69171,0.28035057,10,1,10
33.95548,130.93713,0.48974115,12,1,12
34.69379,135.50107,0.26657686,10,1,10
35.18147,136.90641,-0.17992139,12,17,12
36.20418,137.81419,1.3552787,19,1,19
31.56667,130.55,1.1751722,12,1,12
43.06667,141.35,0.025634091,10,1,10
1.75,40.01667,1.4750237,18,1,18
-1.28333,36.81667,-1.087635,17,17,17
-4.05466,39.66359,-1.0991291,17,17,17
-0.10221,34.76171,-0.8349361,17,17,17
42.87,74.59,-0.56044626,13,17,13
11.56245,104.91601,0.123038456,10,1,10
-11.70216,43.25506,0.40429705,18,1,18
35.53722,129.31667,0.61704373,12,1,12
37.566,126.9784,0.76865095,12,1,12
37.75266,128.87239,0.42125985,12,1,12
35.42441,127.67962,1.312489,0,1,0
36.9122,127.1279,0.25733346,12,1,12
35.55479,126.6251,1.1551608,0,1,0
48.68659,71.64469,-0.22711998,5,17,5
17.96667,102.6,0.50082755,12,1,12
33.89332,35.50157,-0.7788484,13,17,13
13.9957,-61.00614,1.7212292,4,1,4
8.5778,81.2289,0.058621813,9,17,9
7.2906,80.6336,-0.41338068,9,17,9
9.66845,80.00742,0.65444136,18,1,18
6.93548,79.84868,0.2630329,18,1,18
6.30054,-10.7969,0.60025346,7,1,7
-29.31667,27.48333,-0.51637125,17,17,17
54.90272,23.90961,-0.9214559,16,17,16
32.88743,13.18733,-0.4868491,14,17,14
35.76727,-5.79975,-0.6340844,2,17,2
29.37975,-10.17299,0.8831619,7,1,7
34.01325,-6.83255,-0.77308923,2,17,2
33.52666,-5.11019,0.46315798,0,1,0
33.58831,-7.61138,-0.50082725,2,17,2
47.00556,28.8575,-0.969651,17,17,17
42.44111,19.26361,-0.774991,17,17,17
-12.31732,49.29188,0.5466525,18,1,18
-18.91368,47.53613,-0.9440177,17,17,17
14.44693,-11.44448,0.21677868,8,1,8
16.27167,-0.04472,0.5559606,8,1,8
12.65,-8.0,0.18751323,8,1,8
16.80528,96.15611,0.012003941,5,8,5
21.97473,96.08359,-0.10098096,10,1,10
47.90771,106.88324,0.27771083,12,1,12
18.08581,-15.9785,0.83082604,4,1,4
20.94188,-17.03842,1.0908184,4,1,4
-20.16194,57.49889,1.744643,15,1,15
4.17521,73.50916,0.6914144,18,1,18
-9.93333,33.93333,-0.10317598,1,17,1
-15.38596,35.3188,-0.5580314,17,17,17
-13.96692,33.78725,-0.546033,17,17,17
19.18095,-96.1429,-0.12403049,11,6,11
22.28519,-97.87777,0.23962982,11,1,11
20.97537,-89.61696,-0.32566085,3,17,3
19.42847,-99.12766,-0.23996802,11,17,11
21.17429,-86.84656,-0.026135689,3,1,3
22.14982,-100.97916,-0.24328323,3,17,3
