nearest_humidity_1,nearest_humidity_2,nearest_humidity_3,nearest_humidity_4,nearest_humidity_5,nearest_humidity_6,nearest_humidity_7,nearest_humidity_8,nearest_humidity_9,nearest_humidity_10,nearest_humidity_11,nearest_humidity_12
289.2615966796875,297.04339599609375,297.4471740722656,297.3042907714844,297.7024841308594,296.1327819824219,297.2362976074219,296.5921936035156,298.2823486328125,298.2120361328125,297.9955139160156,294.9613342285156
298.0330810546875,298.43988037109375,297.9491271972656,297.0210876464844,297.5091247558594,296.1913757324219,296.5663757324219,296.8031311035156,297.4639892578125,298.0499267578125,297.5892639160156,297.5609436035156
292.4725341796875,286.37347412109375,285.1561584472656,287.64605712890625,284.4817810058594,288.3378601074219,284.9277038574219,278.79925537109375,280.5167236328125,286.1300048828125,282.89398193359375,286.63519287109375
292.1248779296875,285.91253662109375,284.5448303222656,288.57379150390625,284.2552185058594,288.0566101074219,285.1425476074219,278.36370849609375,280.0128173828125,286.0850830078125,282.96820068359375,286.22113037109375
288.9334716796875,290.89105224609375,290.2811584472656,288.20855712890625,288.3684997558594,286.2245788574219,284.6698913574219,287.27777099609375,285.1241455078125,288.7667236328125,289.15570068359375,292.16448974609375
291.8377685546875,294.75628662109375,293.9647521972656,293.6910095214844,294.7649841308594,294.0956726074219,294.1347351074219,293.7386779785156,294.7960205078125,293.6104736328125,295.0873107910156,294.9183654785156
295.6190185546875,298.79339599609375,297.8807678222656,297.2320251464844,298.8274841308594,297.3202819824219,297.0351257324219,296.6585998535156,297.5792236328125,296.5538330078125,297.9349670410156,298.9964904785156
264.3709716796875,270.5845031738281,275.4374084472656,274.36285400390625,287.6634216308594,293.3573913574219,298.8398132324219,292.23284912109375,280.8096923828125,285.3389892578125,255.71238708496094,261.6488952636719
274.0682373046875,280.3735656738281,282.8417053222656,283.93707275390625,293.9153747558594,299.2421569824219,299.0038757324219,294.8675842285156,295.8214111328125,290.7374267578125,275.09710693359375,275.38519287109375
273.1561279296875,278.9458312988281,285.3202209472656,283.21051025390625,293.7298278808594,297.7948913574219,299.4413757324219,295.3011779785156,291.7667236328125,290.7159423828125,268.0854187011719,275.95745849609375
280.0174560546875,283.77777099609375,290.2069396972656,287.52301025390625,298.2571716308594,299.4706726074219,299.5370788574219,295.0043029785156,298.7608642578125,291.5421142578125,290.36077880859375,289.10980224609375
258.5174560546875,270.2290344238281,274.3495178222656,272.8706359863281,286.5345153808594,290.4823913574219,297.9023132324219,292.15277099609375,280.8389892578125,282.8663330078125,257.1654968261719,260.1293640136719
266.4490966796875,269.5591125488281,276.0252990722656,275.00543212890625,282.8489685058594,295.3710632324219,296.4374694824219,290.45159912109375,281.3682861328125,285.9639892578125,255.49559020996094,258.2856140136719
